Divisions,AgrForestFish,Mining,Manufacturing,Utilities,Construction,Wholesale,Retail,AccomFoodServ,Transport&Ware,Communications,Finance&Insur,RealEstate,BusinessServ,Admin,PublicAdminSafe,Education,Health&Social,Arts&Rec,OtherServices,Dwellings
AgrForestFish,121.3246779227359,358.2636161321161,180.54028831082294,140.27812683314082,38.21144964198129,33.22411194903885,42.62872808340579,23.883190565808352,205.86579594579905,114.62716455447033,67.80762862066946,142.462098671612,67.49517143713852,0.00010003275376534057,125.52132961166336,60.034013497509164,67.74453619977645,4.617853474415366,0.0001000106552152763,697.4139797258592
Mining,24.587267444882208,684.8678202517941,189.35204383089723,78.41738665538725,9.999203234426721e-5,9.999191510961654e-5,9.999215515940379e-5,9.999173270010079e-5,259.81913146559594,5.951737293471858,9.999333090232394e-5,83.40119109361737,9.999330701350077e-5,9.99913280033431e-5,36.26426203907474,9.999284475194956e-5,9.999332626157489e-5,9.999145665237862e-5,9.999125799325726e-5,1637.0814301457249
Manufacturing,3456.691163077958,9020.077125899285,5026.526714377011,3554.9622389987717,1388.3580812707419,1202.6440499763896,1258.5478678431953,1058.6508070188531,5588.661175612231,2879.0652730795364,1636.4802169036084,3631.117703737281,1936.349084680017,435.2400613282803,2934.8292396770066,1709.788446389733,1723.791606412699,582.2775708632305,336.76619888953536,18732.220589593508
Utilities,218.35167799150386,626.2583859117957,320.1936328900514,250.94876301210036,85.485108686757,78.01935178277711,92.30065846886401,64.25180103621328,363.749701825141,206.83296109315464,131.73971731814692,254.70486645059023,131.22997309460166,18.62923652921763,225.569288390479,119.4531598045697,131.63963362725096,36.453796714688345,6.871820754144894,1212.899253405755
Construction,6754.69236242372,21724.850403245076,10071.408674722787,8358.968518344525,2881.773132616417,2750.3786653220295,3351.320426188825,2408.7959943644705,11600.45497495801,6549.9784664252775,4738.069345249273,7908.0933010830395,4222.088154025727,1443.6224157735005,7653.5167470227425,4014.057550735422,4603.432944758378,1869.3014800086066,1236.38192713455,41079.89542793931
Wholesale,1236.920335939131,3430.3444217603337,1785.028036238125,1329.8460108599265,507.7635574321842,469.58273533785007,519.5519012045937,401.57731378040506,2008.0441474733298,1132.6277049407151,689.4746556648993,1399.3405945984243,743.7976360413041,206.81715299019854,1212.9593065381664,692.1842268510317,723.0993535739764,274.48040362492276,167.7607566516212,6746.925344454525
Retail,236.6616052341901,628.2715665546109,320.6754382328667,234.54920075502034,72.23509491036654,61.49532372686615,71.85126185281989,36.592454793375175,369.77491636794156,222.67809323584464,120.65360326122159,272.618039993312,147.62569803710616,0.00010002718347532387,222.4935824333187,97.59974414807904,125.19525867021243,10.706883171868439,0.00010000847395279722,1382.1048436485348
AccomFoodServ,9.999625389705005e-5,0.00010000494063310269,9.999733465950434e-5,9.999656344967088e-5,9.999443852821102e-5,9.99943317898769e-5,9.999452417616064e-5,9.999413325904208e-5,9.999792002631984e-5,9.999615137904183e-5,9.999503486191843e-5,9.999660109914188e-5,9.999502946987246e-5,9.999347270952622e-5,9.999631989445566e-5,9.99948737013617e-5,9.999503354009455e-5,9.99937491775955e-5,9.999327962815105e-5,21.14524436804718
Transport&Ware,131.1317295771107,371.76401989668113,180.57012177542506,134.9749716978467,34.41752801764917,24.651239907507136,33.68788528030762,12.543680944390205,199.36968311045996,107.49627567928651,54.654249736582734,133.3118360363924,60.57143591236645,0.00010000678551650593,112.64503417660214,47.789743343687796,59.47079127513735,0.00010003457908860487,0.00010000177396740803,732.3312996904365
Communications,309.5799848124554,1022.424702833017,520.9217130110569,407.1098646329858,118.98653340699056,113.94231971273466,118.91889187941835,77.92013585665495,771.3821794460545,386.32184221377497,171.0723756389523,471.6353403713733,199.76191581508613,9.546824469528426,392.2481223112332,167.96667792512665,170.29516404806407,30.14572329825833,0.0001000307811826055,2133.1118549270736
Finance&Insur,36.7476865104678,132.23280497460397,60.6954843255879,44.41278289954947,0.00010006100789054865,0.00010003538298247456,0.00010012341929970045,0.00010001673082430728,70.93754944993711,34.039098432824105,10.612415910749949,45.29601820789887,10.46318840769007,0.0001000004039454577,38.44488369905337,6.572679728274489,10.57992905995874,0.00010000419271053145,9.999865752615502e-5,266.6166368874407
RealEstate,400.7063089045132,1138.3686881253093,584.7642211033086,459.61868372521127,171.87752139836448,159.63149050413602,183.31875927065644,137.32603734693367,663.4826541384615,379.88865080612027,262.32309653053045,466.40705046371113,249.3719673070474,67.35731648865473,413.7506215035134,229.27129371686783,250.0907997397012,93.07057204230433,49.82557391159094,2236.0772498193946
BusinessServ,701.4436226040855,2227.4534716251183,1275.168512102934,855.284333324807,280.8866330974981,279.978249603109,297.6148901698502,219.62792274589336,1364.283945338143,839.9517788055553,414.54221212998095,1304.2163484631699,481.69163690630063,92.4021670571361,769.4415953030682,399.04427451615,419.7184944390719,128.39987409117998,59.83845546031812,4603.865223319277
Admin,9.16209844798671,68.68608803444683,24.14392873205868,13.957410884953513,0.00010000654548006437,0.00010000492989770854,0.00010000811017832303,0.00010000252600329428,30.55140232407826,7.467595788690386,0.0001000268875389372,14.509966172457402,0.00010002649493831602,9.999762893391879e-5,10.223871262829592,0.00010001818696276209,0.00010002679671466858,9.999925728182611e-5,9.999670977111185e-5,151.01310284575993
PublicAdminSafe,88.63776813362533,313.9423740520285,174.97019853065495,100.09821625396451,3.184767388052042,0.00010019135993471744,7.101391036516813,0.00010003046133438602,207.36745596555295,69.30568745634416,18.80397930463051,94.0532269927132,33.81489443235549,9.99984352599774e-5,73.99756605347895,33.58137152212202,25.126015338790516,0.00010000284058559814,9.999690666271411e-5,645.5442698456687
Education,56.756132425619995,201.68582916233743,93.03164341216817,68.36702418533109,0.4185199844031626,0.00010010416078263699,3.545126748343684,0.00010002623028401912,108.5460614268285,52.65323254768363,21.04967807218922,69.70492638373896,20.843394328806696,0.00010000035543814996,59.32700323436726,15.704780454295,21.006493171327204,0.00010000485187560008,9.999847986512984e-5,407.6449271556567
Health&Social,22.541086926940228,97.27205251574598,41.314379208580576,28.549952364308012,0.00010001762722260254,0.00010001307693845292,0.00010002289831623555,0.0001000074661423907,49.34339648235374,20.417755330200706,0.42328110883505815,29.242343172513266,0.29800308224239597,9.999895617268003e-5,23.87156330505628,0.00010011035092514441,0.39528476979032456,0.0001000014288654598,9.999767948260362e-5,201.61246876802545
Arts&Rec,7.267237392879124,43.142590882012136,16.352898409728343,10.175332219170638,0.00010001130559168103,0.00010000903021141536,0.00010001346737085092,0.00010000568766433777,20.238680857619862,6.239614165805713,0.00010004039038216592,10.51042681652498,0.00010003984348773639,9.999908400505532e-5,7.911144580771875,0.00010002770341225648,0.00010004025601427915,0.00010000126915892373,9.999786794596306e-5,91.23617743474405
OtherServices,0.00010000283368116953,9.61951804676809,0.00010000937355353892,0.00010000438829029162,9.999682501124501e-5,9.999656896970463e-5,9.999703727548971e-5,9.999611232041975e-5,0.00010001477251265435,0.0001000023617095332,9.999842008544602e-5,0.00010000459196761451,9.999840411954623e-5,9.999475135096341e-5,0.00010000314823441126,9.99979604135087e-5,9.999841622070693e-5,9.99952927367148e-5,9.999439403438565e-5,61.36349893263767
Dwellings,9.999496525919021e-5,9.99988332812788e-5,9.999558568083514e-5,9.999514829072531e-5,9.999376777485712e-5,9.999369152264487e-5,9.999382833050736e-5,9.999354791594462e-5,9.999590103238346e-5,9.999490365529995e-5,9.999418078693351e-5,9.99951702518495e-5,9.999417716457882e-5,9.999305334879422e-5,9.999500465515406e-5,9.999407114749301e-5,9.999417989354156e-5,9.999326368099097e-5,9.999290366794181e-5,6.299980184135786
